Wavelength,Spectrum_1
608.1513817476773,398.81866415210135
608.2100694549392,402.82301663202855
608.2687538536484,416.83869566363285
608.3274349436476,428.8526786868081
608.3861127247799,611.1206325339796
608.4447871968882,510.9610099464227
608.5034583598157,589.0831218053612
608.5621262134052,534.9967047055305
608.6207907575,412.8341457017804
608.6794519919429,466.9001736154591
608.7381099165771,232.69225489649742
608.7967645312455,609.1171694223871
608.855415835791,460.8923561278014
608.9140638300569,452.8821163842769
608.9727085138861,448.8770758574561
609.0313498871216,328.75202452998855
609.0899879496064,468.90280547153094
609.1486227011835,476.91346204529594
609.2072541416961,396.8165093138014
609.265882270987,378.79776487153873
609.3245070888994,324.7487803597911
609.3831285952762,430.8550573709031
609.4417467899606,312.73942761634555
609.5003616727953,456.8872099072804
609.5589732436237,541.005895496586
609.6175815022884,420.8433013531909
609.676186448633,412.8341457017804
609.7347880824999,398.81866415210135
609.7933864037325,579.0665024845099
609.8519814121737,308.73643773295584
609.9105731076666,432.85744971900493
609.9691614900541,350.77098018199047
610.0277465591795,536.9997565834823
610.0863283148852,254.7025161764294
610.1449067570151,342.7638710650204
610.2034818854115,571.0534050026542
610.2620536999177,458.8897764489803
610.3206222003768,394.8143687953523
610.3791873866317,266.70899707392795
610.4377492585254,472.90810800219816
610.496307815901,518.9727161939542
610.5548630586014,494.938184847891
610.6134149864698,388.80803355076165
610.6719635993493,334.75700832494476
610.7305088970825,508.9581137695599
610.7890508795127,414.8364136974927
610.847589546483,522.9786417440996
610.9061248978364,583.0731174192249
610.964656933416,559.0340938176132
611.0231856530643,496.9409946942793
611.081711056625,500.94665167341645
611.1402331439406,536.9997565834823
611.1987519148544,486.9270705936098
611.2572673692093,422.8456249997593
611.3157795068486,416.83869566363285
611.3742883276149,442.8696150907644
611.4327938313514,414.8364136974927
611.4912960179014,743.3708317539532
611.5497948871075,490.93260262205735
611.608290438813,655.1994140390179
611.6667826728607,312.73942761634555
611.7252715890937,398.81866415210135
611.7837571873553,474.9107786030836
611.8422394674882,653.1957279302269
611.9007184293353,561.037284173181
611.95919407274,761.4079873308851
612.0176663975452,561.037284173181
612.076135403594,681.2482108386589
612.134601090729,557.0309148119918
612.1930634587935,577.0632115149285
612.2515225076309,543.008982461997
612.3099782370836,478.9161582921288
